payment_id,order_id,amount_paise,method,network,status,fee_paise,tax_paise,captured_at,international
pay_0034000054,order_0034000054,93994,netbanking,none,captured,1786,321,2026-07-16T14:25:47,0
pay_0034000055,order_0034000055,400091,upi,none,failed,0,0,2026-07-12T03:58:13,0
pay_0034000056,order_0034000056,6002,upi,none,captured,0,0,2026-07-01T05:28:44,0
pay_0034000057,order_0034000057,115224,upi,none,captured,0,0,2026-07-11T06:29:34,0
pay_0034000058,order_0034000058,15965,card,visa,captured,319,57,2026-07-31T14:23:29,0
pay_0034000059,order_0034000059,154463,card,visa,captured,3089,556,2026-07-05T00:47:58,0
pay_0034000060,order_0034000060,50073,card,visa,captured,1001,180,2026-07-10T02:46:25,0
pay_0034000061,order_0034000061,56622,card,visa,captured,1132,204,2026-07-18T08:44:45,0
pay_0034000062,order_0034000062,69805,upi,none,captured,0,0,2026-07-28T07:19:15,0
pay_0034000063,order_0034000063,171129,upi,none,captured,0,0,2026-07-15T12:06:04,0
pay_0034000064,order_0034000064,99036,netbanking,none,captured,1882,339,2026-07-30T06:03:25,0
pay_0034000065,order_0034000065,245354,netbanking,none,captured,4662,839,2026-07-17T01:35:39,0
pay_0034000066,order_0034000066,176184,upi,none,captured,0,0,2026-07-06T11:33:26,0
pay_0034000067,order_0034000067,179533,upi,none,captured,0,0,2026-07-11T14:41:28,0
pay_0034000068,order_0034000068,31970,netbanking,none,captured,607,109,2026-07-03T01:31:57,0
pay_0034000069,order_0034000069,28539,card,rupay,captured,285,51,2026-07-21T01:48:53,0
pay_0034000070,order_0034000070,10479,netbanking,none,captured,199,36,2026-07-13T16:56:52,0
pay_0034000071,order_0034000071,59084,upi,none,captured,0,0,2026-07-31T09:31:52,0
pay_0034000072,order_0034000072,97873,upi,none,captured,0,0,2026-07-16T17:21:13,0
pay_0034000073,order_0034000073,52763,card,mastercard,captured,1055,190,2026-07-23T19:55:13,0
pay_0034000074,order_0034000074,67114,wallet,none,captured,1342,242,2026-07-25T10:58:26,0
pay_0034000075,order_0034000075,237694,upi,none,failed,0,0,2026-07-30T20:38:51,0
pay_0034000076,order_0034000076,53604,upi,none,captured,0,0,2026-07-22T09:26:58,0
pay_0034000077,order_0034000077,39047,upi,none,captured,0,0,2026-07-18T00:01:26,0
pay_0034000078,order_0034000078,50160,upi,none,captured,0,0,2026-07-10T08:01:25,0
pay_0034000079,order_0034000079,70852,upi,none,captured,0,0,2026-07-30T23:25:37,0
pay_0034000080,order_0034000080,1122207,upi,none,captured,0,0,2026-07-11T17:18:05,0
pay_0034000081,order_0034000081,21014,card,rupay,captured,210,38,2026-07-18T19:58:49,0
pay_0034000082,order_0034000082,48331,wallet,none,failed,0,0,2026-07-09T15:59:10,0
pay_0034000083,order_0034000083,84735,upi,none,captured,0,0,2026-07-11T13:35:51,0
pay_0034000084,order_0034000084,67916,card,mastercard,captured,1358,244,2026-07-08T12:59:15,0
pay_0034000085,order_0034000085,22210,upi,none,failed,0,0,2026-07-23T11:17:50,0
pay_0034000086,order_0034000086,27521,upi,none,captured,0,0,2026-07-30T08:36:54,0
pay_0034000087,order_0034000087,8070,upi,none,captured,0,0,2026-07-18T16:32:57,0
pay_0034000088,order_0034000088,85915,upi,none,captured,0,0,2026-07-26T13:21:31,0
pay_0034000089,order_0034000089,115470,wallet,none,captured,2309,416,2026-07-30T10:08:08,0
pay_0034000090,order_0034000090,307422,card,visa,failed,0,0,2026-07-20T04:58:07,0
pay_0034000091,order_0034000091,60197,card,visa,captured,1204,217,2026-07-01T10:04:39,0
pay_0034000092,order_0034000092,122539,upi,none,captured,0,0,2026-07-15T09:31:12,0
pay_0034000093,order_0034000093,30341,upi,none,captured,0,0,2026-07-06T12:46:00,0
pay_0034000094,order_0034000094,148709,upi,none,captured,0,0,2026-07-12T17:00:18,0
pay_0034000095,order_0034000095,255514,card,visa,captured,5110,920,2026-07-12T15:53:26,0
pay_0034000096,order_0034000096,72753,upi,none,captured,0,0,2026-07-05T08:20:22,0
pay_0034000097,order_0034000097,159530,upi,none,captured,0,0,2026-07-10T21:06:36,0
pay_0034000098,order_0034000098,106203,wallet,none,captured,2124,382,2026-07-17T02:52:40,0
pay_0034000099,order_0034000099,136064,upi,none,captured,0,0,2026-07-22T18:34:28,0
pay_0034000100,order_0034000100,26129,upi,none,captured,0,0,2026-07-19T01:42:57,0
pay_0034000101,order_0034000101,115361,upi,none,captured,0,0,2026-07-06T18:42:31,0
pay_0034000102,order_0034000102,49513,upi,none,captured,0,0,2026-07-22T12:00:25,0
pay_0034000103,order_0034000103,481730,upi,none,captured,0,0,2026-07-04T16:05:55,0
pay_0034000104,order_0034000104,357190,card,visa,captured,7144,1286,2026-07-28T12:30:07,0
pay_0034000105,order_0034000105,29583,card,visa,captured,592,107,2026-07-01T11:30:32,0
pay_0034000106,order_0034000106,13352,upi,none,captured,0,0,2026-07-31T22:51:30,0
pay_0034000107,order_0034000107,193965,netbanking,none,captured,3685,663,2026-07-21T07:27:12,0
pay_0034000108,order_0034000108,181300,upi,none,captured,0,0,2026-07-04T10:48:03,0
pay_0034000109,order_0034000109,572336,upi,none,captured,0,0,2026-07-16T16:49:26,0
pay_0034000110,order_0034000110,116665,upi,none,captured,0,0,2026-07-11T10:37:10,0
pay_0034000111,order_0034000111,147649,upi,none,captured,0,0,2026-07-19T06:15:24,0
pay_0034000112,order_0034000112,206923,upi,none,captured,0,0,2026-07-07T21:53:38,0
pay_0034000113,order_0034000113,70644,card,amex,failed,0,0,2026-07-17T11:19:15,0
pay_0034000114,order_0034000114,54893,upi,none,failed,0,0,2026-07-14T10:13:58,0
pay_0034000115,order_0034000115,62897,netbanking,none,captured,1195,215,2026-07-30T08:03:29,0
pay_0034000116,order_0034000116,101683,upi,none,failed,0,0,2026-07-25T08:44:34,0
pay_0034000117,order_0034000117,209516,netbanking,none,captured,3981,717,2026-07-02T09:25:12,0
pay_0034000118,order_0034000118,34228,upi,none,captured,0,0,2026-07-27T23:22:43,0
pay_0034000119,order_0034000119,93998,card,mastercard,captured,1880,338,2026-07-28T12:28:41,0
pay_0034000120,order_0034000120,52213,upi,none,captured,0,0,2026-07-29T03:52:06,0
pay_0034000121,order_0034000121,153916,netbanking,none,captured,2924,526,2026-07-31T08:28:05,0
pay_0034000122,order_0034000122,125577,wallet,none,captured,2512,452,2026-07-08T16:18:35,0
pay_0034000123,order_0034000123,19078,netbanking,none,captured,362,65,2026-07-20T13:06:40,0
pay_0034000124,order_0034000124,32913,netbanking,none,captured,625,113,2026-07-09T07:28:09,0
pay_0034000125,order_0034000125,251821,card,rupay,captured,2518,453,2026-07-16T11:32:56,0
pay_0034000126,order_0034000126,23047,netbanking,none,captured,438,79,2026-07-02T04:54:21,0
pay_0034000127,order_0034000127,90407,card,mastercard,captured,1808,325,2026-07-12T17:23:26,0
pay_0034000128,order_0034000128,60087,upi,none,captured,0,0,2026-07-07T08:26:50,0
pay_0034000129,order_0034000129,267173,upi,none,captured,0,0,2026-07-10T06:44:03,0
pay_0034000130,order_0034000130,31274,wallet,none,captured,625,113,2026-07-28T06:06:43,0
pay_0034000131,order_0034000131,50692,upi,none,captured,0,0,2026-07-10T09:31:45,0
pay_0034000132,order_0034000132,378570,upi,none,captured,0,0,2026-07-14T04:00:01,0
pay_0034000133,order_0034000133,124656,upi,none,captured,0,0,2026-07-24T18:45:53,0
pay_0034000134,order_0034000134,66763,upi,none,failed,0,0,2026-07-18T13:12:36,0
pay_0034000135,order_0034000135,14272,card,rupay,failed,0,0,2026-07-30T11:06:12,0
pay_0034000136,order_0034000136,109897,netbanking,none,captured,2088,376,2026-07-25T12:37:09,0
pay_0034000137,order_0034000137,102273,card,rupay,captured,1023,184,2026-07-23T14:13:16,0
pay_0034000138,order_0034000138,46259,card,visa,captured,925,167,2026-07-24T18:10:24,0
pay_0034000139,order_0034000139,22141,netbanking,none,captured,421,76,2026-07-29T00:10:43,0
pay_0034000140,order_0034000140,26465,upi,none,captured,0,0,2026-07-13T02:01:38,0
pay_0034000141,order_0034000141,4900,upi,none,captured,0,0,2026-07-17T18:04:07,0
pay_0034000142,order_0034000142,178028,upi,none,failed,0,0,2026-07-03T17:05:15,0
pay_0034000143,order_0034000143,57593,card,mastercard,captured,1152,207,2026-07-11T10:41:45,0
pay_0034000144,order_0034000144,11114,netbanking,none,failed,0,0,2026-07-06T19:03:06,0
pay_0034000145,order_0034000145,36706,card,mastercard,captured,734,132,2026-07-25T14:55:18,0
pay_0034000146,order_0034000146,59393,wallet,none,captured,1188,214,2026-07-08T04:38:20,0
pay_0034000147,order_0034000147,19490,card,mastercard,captured,390,70,2026-07-15T23:34:15,0
pay_0034000148,order_0034000148,41364,upi,none,captured,0,0,2026-07-02T23:39:26,0
pay_0034000149,order_0034000149,136995,card,visa,captured,2740,493,2026-07-17T17:14:46,0
pay_0034000150,order_0034000150,741465,upi,none,captured,0,0,2026-07-07T02:18:43,0
pay_0034000151,order_0034000151,148205,card,visa,captured,2964,534,2026-07-27T07:51:24,0
pay_0034000152,order_0034000152,103566,upi,none,captured,0,0,2026-07-30T11:20:39,0
pay_0034000153,order_0034000153,30286,upi,none,captured,0,0,2026-07-24T23:52:53,0
pay_0034000154,order_0034000154,61868,upi,none,captured,0,0,2026-07-24T00:23:00,0
pay_0034000155,order_0034000155,28945,card,visa,captured,579,104,2026-07-13T15:17:33,0
pay_0034000156,order_0034000156,95677,upi,none,captured,0,0,2026-07-05T12:59:38,0
pay_0034000157,order_0034000157,63259,upi,none,captured,0,0,2026-07-09T18:56:08,0
pay_0034000158,order_0034000158,130231,upi,none,captured,0,0,2026-07-18T04:29:39,0
pay_0034000159,order_0034000159,62590,card,visa,captured,1252,225,2026-07-22T11:19:11,0
pay_0034000160,order_0034000160,114160,upi,none,failed,0,0,2026-07-21T23:10:48,0
pay_0034000161,order_0034000161,47080,upi,none,captured,0,0,2026-07-24T10:45:38,0
pay_0034000162,order_0034000162,41014,card,visa,captured,820,148,2026-07-02T21:45:14,0
pay_0034000163,order_0034000163,54620,upi,none,captured,0,0,2026-07-30T18:41:03,0
pay_0034000164,order_0034000164,167844,upi,none,captured,0,0,2026-07-17T00:05:15,0
pay_0034000165,order_0034000165,213288,card,rupay,captured,2133,384,2026-07-14T10:56:30,0
pay_0034000166,order_0034000166,4900,upi,none,failed,0,0,2026-07-28T00:03:34,0
pay_0034000167,order_0034000167,124487,card,visa,captured,2490,448,2026-07-26T07:20:31,0
pay_0034000168,order_0034000168,78666,upi,none,captured,0,0,2026-07-28T18:24:12,0
pay_0034000169,order_0034000169,30814,netbanking,none,captured,585,105,2026-07-03T07:04:17,0
pay_0034000170,order_0034000170,58083,upi,none,captured,0,0,2026-07-10T22:55:31,0
pay_0034000171,order_0034000171,78853,upi,none,captured,0,0,2026-07-23T23:36:47,0
pay_0034000172,order_0034000172,110595,card,visa,captured,2212,398,2026-07-13T06:13:24,0
pay_0034000173,order_0034000173,38791,upi,none,captured,0,0,2026-07-04T12:51:00,0
pay_0034000174,order_0034000174,88473,card,visa,captured,1769,318,2026-07-23T04:34:55,0
pay_0034000175,order_0034000175,187964,upi,none,captured,0,0,2026-07-19T04:41:05,0
pay_0034000176,order_0034000176,93684,upi,none,captured,0,0,2026-07-23T04:30:06,0
pay_0034000177,order_0034000177,104213,upi,none,captured,0,0,2026-07-19T22:26:25,0
pay_0034000178,order_0034000178,26741,upi,none,captured,0,0,2026-07-20T18:29:59,0
pay_0034000179,order_0034000179,68151,upi,none,captured,0,0,2026-07-01T23:27:30,0
pay_0034000180,order_0034000180,66817,upi,none,captured,0,0,2026-07-04T03:54:39,0
pay_0034000181,order_0034000181,188192,upi,none,captured,0,0,2026-07-04T19:35:29,0
pay_0034000182,order_0034000182,128043,upi,none,captured,0,0,2026-07-15T03:54:10,0
pay_0034000183,order_0034000183,50379,upi,none,captured,0,0,2026-07-10T22:57:58,0
pay_0034000184,order_0034000184,127997,card,mastercard,captured,2560,461,2026-07-21T09:24:20,0
pay_0034000185,order_0034000185,62011,upi,none,captured,0,0,2026-07-05T17:30:53,0
pay_0034000186,order_0034000186,18532,upi,none,captured,0,0,2026-07-19T11:59:59,0
pay_0034000187,order_0034000187,38068,upi,none,captured,0,0,2026-07-20T15:34:22,0
pay_0034000188,order_0034000188,78903,upi,none,captured,0,0,2026-07-24T06:05:31,0
pay_0034000189,order_0034000189,144433,card,rupay,captured,1444,260,2026-07-07T04:35:20,0
pay_0034000190,order_0034000190,53960,card,mastercard,captured,1079,194,2026-07-07T21:48:50,0
pay_0034000191,order_0034000191,91826,upi,none,captured,0,0,2026-07-20T03:44:43,0
pay_0034000192,order_0034000192,43208,netbanking,none,captured,821,148,2026-07-12T06:13:23,0
pay_0034000193,order_0034000193,109710,upi,none,captured,0,0,2026-07-24T11:51:49,0
pay_0034000194,order_0034000194,123614,upi,none,captured,0,0,2026-07-19T10:33:39,0
pay_0034000195,order_0034000195,117924,upi,none,captured,0,0,2026-07-12T20:21:15,0
pay_0034000196,order_0034000196,96452,netbanking,none,captured,1833,330,2026-07-16T00:22:11,0
pay_0034000197,order_0034000197,14367,card,visa,captured,287,52,2026-07-08T13:44:54,0
pay_0034000198,order_0034000198,306462,upi,none,captured,0,0,2026-07-10T16:45:36,0
pay_0034000199,order_0034000199,49132,upi,none,captured,0,0,2026-07-12T15:17:00,0
pay_0034000200,order_0034000200,187566,card,visa,captured,3751,675,2026-07-14T08:26:11,0
pay_0034000201,order_0034000201,55926,upi,none,captured,0,0,2026-07-10T12:11:22,0
pay_0034000202,order_0034000202,23083,upi,none,captured,0,0,2026-07-13T02:31:57,0
pay_0034000203,order_0034000203,8452,upi,none,captured,0,0,2026-07-07T15:17:40,0
pay_0034000204,order_0034000204,166443,wallet,none,captured,3329,599,2026-07-27T18:51:06,0
pay_0034000205,order_0034000205,31403,card,visa,captured,628,113,2026-07-09T12:30:55,0
pay_0034000206,order_0034000206,61653,wallet,none,captured,1233,222,2026-07-31T14:03:32,0
pay_0034000207,order_0034000207,350996,upi,none,captured,0,0,2026-07-30T08:13:10,0
pay_0034000208,order_0034000208,36798,card,rupay,captured,368,66,2026-07-20T18:33:16,0
pay_0034000209,order_0034000209,143625,upi,none,captured,0,0,2026-07-27T06:57:53,0
pay_0034000210,order_0034000210,36190,upi,none,captured,0,0,2026-07-16T21:08:46,0
pay_0034000211,order_0034000211,209903,upi,none,captured,0,0,2026-07-11T19:06:04,0
pay_0034000212,order_0034000212,35254,upi,none,captured,0,0,2026-07-24T22:51:47,0
pay_0034000213,order_0034000213,108658,upi,none,captured,0,0,2026-07-28T18:14:30,0
pay_0034000214,order_0034000214,64743,card,visa,captured,1295,233,2026-07-04T01:25:00,0
pay_0034000215,order_0034000215,241881,upi,none,captured,0,0,2026-07-16T00:43:21,0
pay_0034000216,order_0034000216,10847,upi,none,captured,0,0,2026-07-04T00:25:28,0
pay_0034000217,order_0034000217,57145,upi,none,captured,0,0,2026-07-03T13:42:44,0
pay_0034000218,order_0034000218,154196,card,visa,captured,3084,555,2026-07-24T04:10:58,0
pay_0034000219,order_0034000219,93292,card,visa,captured,1866,336,2026-07-20T00:18:05,0
pay_0034000220,order_0034000220,71416,upi,none,captured,0,0,2026-07-26T02:34:46,0
pay_0034000221,order_0034000221,65046,card,visa,captured,1301,234,2026-07-14T07:46:49,0
pay_0034000222,order_0034000222,25861,upi,none,captured,0,0,2026-07-02T19:34:27,0
pay_0034000223,order_0034000223,269031,upi,none,captured,0,0,2026-07-29T18:12:11,0
pay_0034000224,order_0034000224,35841,upi,none,captured,0,0,2026-07-02T00:14:25,0
pay_0034000225,order_0034000225,315232,card,mastercard,captured,6305,1135,2026-07-28T17:59:50,0
pay_0034000226,order_0034000226,13035,netbanking,none,captured,248,45,2026-07-14T15:33:22,0
pay_0034000227,order_0034000227,22233,netbanking,none,failed,0,0,2026-07-18T10:15:53,0
pay_0034000228,order_0034000228,26279,netbanking,none,captured,499,90,2026-07-10T14:09:03,0
pay_0034000229,order_0034000229,147144,card,rupay,failed,0,0,2026-07-12T00:57:59,0
pay_0034000230,order_0034000230,86378,upi,none,captured,0,0,2026-07-17T01:35:58,0
pay_0034000231,order_0034000231,208136,upi,none,captured,0,0,2026-07-02T10:42:36,0
pay_0034000232,order_0034000232,500833,upi,none,failed,0,0,2026-07-14T21:31:20,0
pay_0034000233,order_0034000233,58159,upi,none,failed,0,0,2026-07-14T19:29:58,0
pay_0034000234,order_0034000234,51401,upi,none,captured,0,0,2026-07-07T11:54:34,0
pay_0034000235,order_0034000235,69486,upi,none,captured,0,0,2026-07-23T05:17:21,0
pay_0034000236,order_0034000236,66835,upi,none,captured,0,0,2026-07-26T11:00:37,0
pay_0034000237,order_0034000237,9410,upi,none,captured,0,0,2026-07-25T11:10:21,0
pay_0034000238,order_0034000238,367983,upi,none,captured,0,0,2026-07-18T03:08:26,0
pay_0034000239,order_0034000239,10379,wallet,none,captured,208,37,2026-07-12T23:54:42,0
pay_0034000240,order_0034000240,30028,upi,none,captured,0,0,2026-07-16T12:48:09,0
pay_0034000241,order_0034000241,36628,card,rupay,captured,366,66,2026-07-20T09:31:28,0
pay_0034000242,order_0034000242,756231,upi,none,captured,0,0,2026-07-19T18:08:28,0
pay_0034000243,order_0034000243,111532,upi,none,captured,0,0,2026-07-02T07:21:38,0
pay_0034000244,order_0034000244,45871,upi,none,failed,0,0,2026-07-25T16:42:41,0
pay_0034000245,order_0034000245,11393,netbanking,none,captured,216,39,2026-07-16T12:04:22,0
pay_0034000246,order_0034000246,65108,upi,none,captured,0,0,2026-07-29T21:45:18,0
pay_0034000247,order_0034000247,75308,upi,none,captured,0,0,2026-07-04T15:01:42,0
pay_0034000248,order_0034000248,55988,card,visa,captured,1120,202,2026-07-24T08:51:34,0
pay_0034000249,order_0034000249,36438,card,visa,captured,729,131,2026-07-14T02:41:57,0
pay_0034000250,order_0034000250,38575,upi,none,captured,0,0,2026-07-31T14:08:47,0
pay_0034000251,order_0034000251,78925,wallet,none,captured,1579,284,2026-07-25T20:32:23,0
pay_0034000252,order_0034000252,115037,upi,none,captured,0,0,2026-07-11T06:16:56,0
pay_0034000253,order_0034000253,24447,upi,none,captured,0,0,2026-07-26T04:37:35,0
pay_0034000254,order_0034000254,61097,upi,none,captured,0,0,2026-07-27T02:01:39,0
pay_0034000255,order_0034000255,58342,upi,none,captured,0,0,2026-07-22T05:23:12,0
pay_0034000256,order_0034000256,116376,card,visa,captured,2328,20948,2026-07-04T20:12:04,0
pay_0034000257,order_0034000257,18327,card,visa,captured,367,66,2026-07-24T09:57:38,0
pay_0034000258,order_0034000258,20570,upi,none,captured,0,0,2026-07-05T07:16:21,0
pay_0034000259,order_0034000259,37067,upi,none,captured,0,0,2026-07-11T21:51:00,0
pay_0034000260,order_0034000260,188333,upi,none,captured,0,0,2026-07-18T02:02:43,0
pay_0034000261,order_0034000261,415029,upi,none,captured,0,0,2026-07-25T04:46:34,0
pay_0034000262,order_0034000262,164456,upi,none,captured,0,0,2026-07-30T12:54:06,0
pay_0034000263,order_0034000263,120433,upi,none,captured,0,0,2026-07-03T17:50:56,0
pay_0034000264,order_0034000264,91087,upi,none,captured,0,0,2026-07-26T19:35:52,0
pay_0034000265,order_0034000265,41499,upi,none,captured,0,0,2026-07-17T02:22:46,0
pay_0034000266,order_0034000266,58758,upi,none,captured,0,0,2026-07-20T01:09:20,0
pay_0034000267,order_0034000267,38970,upi,none,captured,0,0,2026-07-28T01:30:55,0
pay_0034000268,order_0034000268,61454,upi,none,captured,0,0,2026-07-01T03:14:06,0
pay_0034000269,order_0034000269,139968,card,mastercard,captured,2799,504,2026-07-10T09:41:14,0
pay_0034000270,order_0034000270,18177,upi,none,captured,0,0,2026-07-18T00:27:10,0
pay_0034000271,order_0034000271,70365,card,mastercard,captured,1407,253,2026-07-10T21:46:02,0
pay_0034000272,order_0034000272,73621,card,visa,captured,1472,265,2026-07-21T05:18:44,0
pay_0034000273,order_0034000273,202090,wallet,none,failed,0,0,2026-07-05T06:45:39,0
pay_0034000274,order_0034000274,105879,upi,none,captured,0,0,2026-07-06T11:16:48,0
pay_0034000275,order_0034000275,16608,upi,none,captured,0,0,2026-07-18T21:30:25,0
pay_0034000276,order_0034000276,66353,netbanking,none,captured,1261,227,2026-07-19T14:38:53,0
pay_0034000277,order_0034000277,71588,wallet,none,captured,1432,258,2026-07-13T12:56:45,0
pay_0034000278,order_0034000278,36444,upi,none,captured,0,0,2026-07-09T13:30:00,0
pay_0034000279,order_0034000279,135136,netbanking,none,captured,2568,462,2026-07-19T15:00:11,0
pay_0034000280,order_0034000280,54010,netbanking,none,failed,0,0,2026-07-25T04:05:55,0
pay_0034000281,order_0034000281,216043,card,visa,captured,7129,1283,2026-07-07T23:59:27,1
pay_0034000282,order_0034000282,483106,upi,none,captured,0,0,2026-07-14T03:37:53,0
pay_0034000283,order_0034000283,9505,card,mastercard,captured,190,34,2026-07-15T17:46:48,0
pay_0034000284,order_0034000284,112119,upi,none,captured,0,0,2026-07-05T03:22:38,0
pay_0034000285,order_0034000285,46255,upi,none,captured,0,0,2026-07-14T09:23:35,0
pay_0034000286,order_0034000286,143952,upi,none,captured,0,0,2026-07-26T19:03:46,0
pay_0034000287,order_0034000287,73597,upi,none,captured,0,0,2026-07-21T15:45:59,0
pay_0034000288,order_0034000288,50232,card,rupay,captured,502,90,2026-07-23T10:19:00,0
pay_0034000289,order_0034000289,118920,card,rupay,captured,1189,214,2026-07-06T10:07:17,0
pay_0034000290,order_0034000290,54769,wallet,none,captured,1095,197,2026-07-19T13:52:04,0
pay_0034000291,order_0034000291,308384,upi,none,captured,0,0,2026-07-13T18:17:30,0
pay_0034000292,order_0034000292,82119,upi,none,captured,0,0,2026-07-19T22:55:39,0
pay_0034000293,order_0034000293,67408,upi,none,captured,0,0,2026-07-06T15:28:10,0
pay_0034000294,order_0034000294,62418,upi,none,captured,0,0,2026-07-26T04:39:13,0
pay_0034000295,order_0034000295,24463,card,visa,failed,0,0,2026-07-29T03:05:36,0
pay_0034000296,order_0034000296,22065,upi,none,captured,0,0,2026-07-15T21:27:33,0
pay_0034000297,order_0034000297,70595,upi,none,captured,0,0,2026-07-25T08:21:14,0
pay_0034000298,order_0034000298,490126,upi,none,captured,0,0,2026-07-30T13:33:54,0
pay_0034000299,order_0034000299,47987,card,mastercard,captured,960,173,2026-07-30T20:04:49,0
pay_0034000300,order_0034000300,54722,upi,none,captured,0,0,2026-07-23T07:21:53,0
pay_0034000301,order_0034000301,12287,upi,none,captured,0,0,2026-07-04T23:51:52,0
pay_0034000302,order_0034000302,25315,upi,none,captured,0,0,2026-07-11T17:33:18,0
pay_0034000303,order_0034000303,14796,card,mastercard,captured,296,53,2026-07-14T16:28:46,0
