bank_txn_id,value_date,narration,credit_paise,debit_paise,balance_paise
bank_0034000040,2026-07-26,NEFT-ICICN20260726735846890-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,3517810,0,277235113
bank_0034000040p1,2026-07-26,NEFT-ICICN20260726735846890-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT-PART2,3517810,0,280752923
bank_0034000040p2,2026-07-26,NEFT-ICICN20260726735846890-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT-PART3,3517810,0,284270733
bank_0034000040p3,2026-07-26,NEFT-ICICN20260726735846890-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT-PART4,3517810,0,287788543
bank_0034000042,2026-07-28,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT PAYOUT,9432135,0,297220678
bank_0034000042c,2026-07-28,NEFT-124524349242-ARORA TEXTILES PRIVATE LIMITED-INV3915,9432135,0,306652813
bank_0034000038,2026-07-28,RTGS ICICN20260724730767178 RAZORPAY SOFTWARE PRIVATE LIMITED,8831276,0,315484089
bank_0034000043,2026-07-28,RTGS UTIBN20260728297429990 ARORA TEXTILES LLP VENDOR REFUND,1838921,0,317323010
bank_0034000045,2026-07-30,NEFT-UTIBN20260730900-RAZORPAY SOFT,3514354,0,320837364
bank_0034000045b,2026-07-30,NEFT-UTIBN20260730900-RAZORPAY SOFT-PART2,7028709,0,327866073
bank_0034000046,2026-07-31,NEFT CR ICICN20260731842259605 RAZORPAY  SOFTWARE   PVT  LTD,11621486,0,339487559
bank_0034000041,2026-07-31,NEFT-HDFCN20260727278295215-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,12382107,0,351869666
bank_0034000047,2026-08-01,NEFT-UTIBN20260801752-RAZORPAY SOFT,14741173,0,366610839
bank_0034000048,2026-08-02,NEFT-KKBKN20260725871-RAZORPAY SOFT,10891349,0,377502188
