refund_id,payment_id,amount_paise,created_at,speed
rfnd_0034000492,pay_0034000492,32637,2026-08-01T07:07:24,instant
rfnd_0034000497,pay_0034000497,23278,2026-07-19T02:25:39,instant
rfnd_0034000534,pay_0034000534,85842,2026-07-18T15:42:19,normal
rfnd_0034000535,pay_0034000535,36651,2026-08-06T05:53:58,normal
rfnd_0034000551,pay_0034000551,70038,2026-08-01T18:18:07,normal
rfnd_0034000570,pay_0034000570,30707,2026-08-05T19:38:17,instant
rfnd_0034000578,pay_0034000578,31840,2026-07-10T21:37:59,normal
rfnd_0034000599,pay_0034000599,9487,2026-07-26T05:53:24,normal
rfnd_0034000637,pay_0034000637,36675,2026-07-13T07:26:37,normal
rfnd_0034000659,pay_0034000659,17630,2026-07-08T00:00:47,normal
rfnd_0034000706,pay_0034000706,139364,2026-07-12T20:38:32,normal
rfnd_0034000718,pay_0034000718,301076,2026-08-06T01:07:09,normal
rfnd_0034000727,pay_0034000727,102155,2026-07-09T23:59:02,normal
rfnd_0034000731,pay_0034000731,35346,2026-07-10T19:40:41,normal
rfnd_0034000734,pay_0034000734,232130,2026-07-31T03:10:09,instant
rfnd_0034000741,pay_0034000741,9184,2026-08-02T12:13:53,normal
rfnd_0034000745,pay_0034000745,71065,2026-07-29T05:07:24,normal
rfnd_0034000779,pay_0034000779,294929,2026-08-06T09:27:11,normal
rfnd_0034000799,pay_0034000799,143016,2026-07-16T12:02:03,normal
rfnd_0034000813,pay_0034000813,16902,2026-07-23T10:07:57,normal
rfnd_0034000858,pay_0034000858,88447,2026-07-28T02:50:01,normal
rfnd_0034000883,pay_0034000883,45908,2026-07-18T19:02:37,instant
rfnd_0034000886,pay_0034000886,144265,2026-08-02T02:22:49,normal
rfnd_0034000899,pay_0034000899,18183,2026-07-30T02:15:12,instant
rfnd_0034000946,pay_0034000946,5608,2026-07-27T22:26:36,instant
rfnd_0034000950,pay_0034000950,25510,2026-07-13T19:07:28,normal
rfnd_0034001016,pay_0034001016,33570,2026-07-14T17:38:22,normal
rfnd_0034001019,pay_0034001019,224919,2026-07-12T15:07:17,normal
rfnd_0034001072,pay_0034001072,251933,2026-07-09T05:50:49,normal
rfnd_0034001092,pay_0034001092,88495,2026-07-15T22:38:28,normal
rfnd_0034001138,pay_0034001138,44345,2026-07-15T07:14:24,normal
rfnd_0034001181,pay_0034001181,70602,2026-07-11T10:41:19,instant
rfnd_0034001195,pay_0034001195,81974,2026-07-09T13:46:34,instant
rfnd_0034001234,pay_0034001234,109259,2026-07-24T21:21:17,instant
rfnd_0034001245,pay_0034001245,50956,2026-07-21T08:18:45,normal
rfnd_0034001251,pay_0034001251,36652,2026-07-29T07:00:51,normal
rfnd_0034001253,pay_0034001253,170192,2026-07-16T19:49:42,instant
rfnd_0034001256,pay_0034001256,29324,2026-08-06T22:29:14,normal
rfnd_0034001287,pay_0034001287,30768,2026-07-10T19:22:11,normal
rfnd_0034001290,pay_0034001290,45681,2026-07-16T07:52:07,normal
rfnd_0034001315,pay_0034001315,305788,2026-08-01T08:00:04,normal
rfnd_0034001323,pay_0034001323,65884,2026-07-26T23:48:04,instant
rfnd_0034001334,pay_0034001334,125575,2026-07-22T02:19:44,normal
rfnd_0034001335,pay_0034001335,192221,2026-07-21T08:21:15,normal
rfnd_0034001353,pay_0034001353,66112,2026-07-19T07:13:02,normal
rfnd_0034001355,pay_0034001355,115034,2026-08-07T03:30:14,normal
rfnd_0034001367,pay_0034001367,55003,2026-07-07T02:20:31,normal
rfnd_0034001382,pay_0034001382,229280,2026-07-14T11:14:50,instant
rfnd_0034001426,pay_0034001426,16239,2026-07-24T01:51:09,instant
rfnd_0034001485,pay_0034001485,98704,2026-07-27T02:39:41,normal
rfnd_0034001498,pay_0034001498,295005,2026-07-15T15:44:49,instant
rfnd_0034001540,pay_0034001540,25654,2026-07-19T09:42:50,normal
rfnd_0034001547,pay_0034001547,59172,2026-07-24T08:32:02,instant
rfnd_0034001549,pay_0034001549,13265,2026-07-27T14:49:44,instant
rfnd_0034001561,pay_0034001561,138708,2026-08-02T13:26:20,normal
rfnd_0034001578,pay_0034001578,97009,2026-07-18T16:33:45,instant
rfnd_0034001586,pay_0034001586,305158,2026-07-14T13:08:31,normal
rfnd_0034001597,pay_0034001597,69259,2026-07-14T01:22:25,normal
rfnd_0034001610,pay_0034001610,21100,2026-07-13T15:57:19,normal
rfnd_0034001639,pay_0034001639,240040,2026-07-09T18:13:27,normal
rfnd_0034001645,pay_0034001645,30088,2026-07-27T05:38:07,normal
rfnd_0034001656,pay_0034001656,74306,2026-07-15T10:59:18,normal
rfnd_0034001661,pay_0034001661,761666,2026-07-20T15:57:31,normal
rfnd_0034001678,pay_0034001678,98801,2026-08-08T08:30:46,normal
rfnd_0034001701,pay_0034001701,179261,2026-07-31T07:22:59,normal
rfnd_0034001702,pay_0034001702,419590,2026-07-10T18:08:40,normal
rfnd_0034001753,pay_0034001753,62047,2026-07-05T10:25:15,instant
rfnd_0034001774,pay_0034001774,36843,2026-07-28T02:52:32,instant
rfnd_0034001801,pay_0034001801,52231,2026-07-30T08:21:19,instant
rfnd_0034001826,pay_0034001826,41591,2026-07-22T12:32:21,normal
rfnd_0034001827,pay_0034001827,98068,2026-07-31T12:18:20,normal
rfnd_0034001840,pay_0034001840,447264,2026-07-10T20:29:27,normal
rfnd_0034001858,pay_0034001858,287334,2026-07-09T14:31:10,instant
rfnd_0034001876,pay_0034001876,42217,2026-08-07T01:29:24,instant
rfnd_0034001902,pay_0034001902,62284,2026-07-30T10:09:19,normal
rfnd_0034001938,pay_0034001938,52342,2026-08-04T21:37:39,normal
rfnd_0034002008,pay_0034002008,49800,2026-08-03T23:13:03,normal
rfnd_0034002038,pay_0034002038,2870,2026-07-29T12:53:35,normal
rfnd_0034002043,pay_0034002043,49674,2026-07-10T07:19:57,instant
rfnd_0034002095,pay_0034002095,34601,2026-07-18T01:15:31,normal
rfnd_0034002111,pay_0034002111,77094,2026-08-04T00:30:54,instant
rfnd_0034002116,pay_0034002116,25823,2026-07-07T20:17:09,normal
rfnd_0034002134,pay_0034002134,196281,2026-08-04T21:28:41,instant
rfnd_0034002136,pay_0034002136,27770,2026-07-09T14:55:33,normal
rfnd_0034002137,pay_0034002137,160723,2026-07-18T20:47:36,normal
rfnd_0034002161,pay_0034002161,23803,2026-08-05T05:53:29,normal
rfnd_0034002173,pay_0034002173,146709,2026-07-15T19:27:59,normal
rfnd_0034002183,pay_0034002183,154259,2026-08-01T07:33:22,normal
rfnd_0034002206,pay_0034002206,124387,2026-07-15T11:21:08,instant
rfnd_0034002209,pay_0034002209,153474,2026-07-17T19:21:43,instant
rfnd_0034002223,pay_0034002223,59740,2026-07-21T07:46:24,normal
rfnd_0034002248,pay_0034002248,82804,2026-08-07T05:13:45,normal
rfnd_0034002283,pay_0034002283,67793,2026-07-07T18:21:22,normal
rfnd_0034002291,pay_0034002291,57858,2026-07-24T10:12:27,normal
rfnd_0034002332,pay_0034002332,111069,2026-07-14T23:58:32,instant
rfnd_0034002336,pay_0034002336,18574,2026-07-06T22:07:30,normal
rfnd_0034002344,pay_0034002344,35549,2026-07-18T11:23:00,instant
rfnd_0034002401,pay_0034002401,189355,2026-07-07T17:00:57,normal
rfnd_0034002416,pay_0034002416,14139,2026-07-20T15:54:54,instant
rfnd_0034002419,pay_0034002419,59468,2026-07-15T10:58:56,normal
rfnd_0034002428,pay_0034002428,10728,2026-07-18T04:35:26,normal
rfnd_0034002431,pay_0034002431,11731,2026-07-11T17:36:56,normal
rfnd_0034002543,pay_0034002543,52071,2026-08-03T22:05:19,instant
rfnd_0034002546,pay_0034002546,8842,2026-08-01T23:54:28,instant
rfnd_0034002548,pay_0034002548,373476,2026-07-12T06:39:30,normal
rfnd_0034002577,pay_0034002577,51070,2026-07-22T14:52:22,normal
rfnd_0034002603,pay_0034002603,137080,2026-07-13T02:06:19,instant
rfnd_0034002611,pay_0034002611,45341,2026-07-18T04:33:42,instant
rfnd_0034002618,pay_0034002618,18313,2026-07-08T01:14:48,normal
rfnd_0034002628,pay_0034002628,218861,2026-07-23T05:32:56,normal
rfnd_0034002640,pay_0034002640,35892,2026-07-17T03:24:15,normal
rfnd_0034002647,pay_0034002647,336501,2026-07-08T03:23:13,normal
rfnd_0034002660,pay_0034002660,165271,2026-07-26T20:50:27,normal
rfnd_0034002661,pay_0034002661,8620,2026-07-23T01:30:44,instant
rfnd_0034002673,pay_0034002673,22742,2026-07-09T03:29:25,normal
rfnd_0034002745,pay_0034002745,18314,2026-07-10T07:19:26,instant
rfnd_0034002753,pay_0034002753,73356,2026-07-28T22:29:31,normal
rfnd_0034002755,pay_0034002755,105688,2026-08-08T15:59:44,normal
rfnd_0034002768,pay_0034002768,32614,2026-07-28T04:19:47,instant
rfnd_0034002785,pay_0034002785,90176,2026-08-06T10:52:39,normal
rfnd_0034002798,pay_0034002798,325974,2026-07-08T08:59:06,normal
rfnd_0034002812,pay_0034002812,22911,2026-07-24T13:35:43,normal
rfnd_0034002813,pay_0034002813,12276,2026-07-04T21:21:32,instant
rfnd_0034002816,pay_0034002816,109533,2026-07-29T14:14:30,instant
rfnd_0034002859,pay_0034002859,60726,2026-08-09T22:12:58,instant
rfnd_0034002886,pay_0034002886,69076,2026-08-03T21:37:35,instant
rfnd_0034002910,pay_0034002910,188708,2026-07-21T08:09:05,normal
rfnd_0034002921,pay_0034002921,269796,2026-07-27T04:20:00,instant
rfnd_0034002933,pay_0034002933,16005,2026-07-08T16:20:09,normal
rfnd_0034002937,pay_0034002937,47717,2026-07-09T01:31:25,instant
rfnd_0034002962,pay_0034002962,16635,2026-07-20T13:56:26,instant
rfnd_0034002978,pay_0034002978,17109,2026-07-19T17:38:02,normal
rfnd_0034002999,pay_0034002999,131728,2026-08-01T16:05:47,normal
rfnd_0034003025,pay_0034003025,32264,2026-07-20T09:14:19,normal
rfnd_0034003041,pay_0034003041,55184,2026-07-18T18:31:59,normal
rfnd_0034003061,pay_0034003061,68072,2026-07-28T23:17:30,instant
rfnd_0034003096,pay_0034003096,222019,2026-07-16T22:52:56,normal
rfnd_0034003103,pay_0034003103,17564,2026-07-07T05:59:48,normal
rfnd_0034003128,pay_0034003128,18836,2026-08-04T16:41:35,normal
rfnd_0034003148,pay_0034003148,488999,2026-07-10T17:44:10,normal
rfnd_0034003152,pay_0034003152,1399,2026-08-10T09:18:32,instant
rfnd_0034003202,pay_0034003202,125578,2026-08-05T00:14:21,instant
rfnd_0034003206,pay_0034003206,29793,2026-08-08T16:16:14,instant
rfnd_0034003210,pay_0034003210,109441,2026-07-26T23:29:49,normal
rfnd_0034003273,pay_0034003273,141322,2026-08-06T08:41:16,normal
rfnd_0034003275,pay_0034003275,34947,2026-07-16T19:56:25,normal
rfnd_0034003279,pay_0034003279,464912,2026-07-20T16:30:30,normal
rfnd_0034003284,pay_0034003284,72367,2026-08-09T22:32:45,normal
rfnd_0034003312,pay_0034003312,31696,2026-07-25T22:12:44,normal
rfnd_0034003342,pay_0034003342,58584,2026-07-11T17:32:54,normal
rfnd_0034003360,pay_0034003360,22207,2026-08-03T18:27:19,instant
rfnd_0034003385,pay_0034003385,62504,2026-07-14T23:52:31,normal
rfnd_0034003404,pay_0034003404,551168,2026-07-07T09:41:10,normal
rfnd_0034003444,pay_0034003444,16016,2026-08-02T16:52:44,normal
rfnd_0034003445,pay_0034003445,231319,2026-07-22T01:08:31,instant
rfnd_0034003448,pay_0034003448,15353,2026-07-20T01:44:45,normal
rfnd_0034003451,pay_0034003451,192906,2026-07-07T02:41:52,normal
rfnd_0034003477,pay_0034003477,39037,2026-07-06T04:34:29,normal
rfnd_0034003545,pay_0034003545,61356,2026-07-30T05:36:59,normal
rfnd_0034003552,pay_0034003552,33500,2026-07-28T02:18:32,instant
rfnd_0034003557,pay_0034003557,127261,2026-07-17T09:26:13,normal
rfnd_0034003572,pay_0034003572,21121,2026-07-11T01:57:40,normal
rfnd_0034003576,pay_0034003576,105269,2026-07-08T14:13:33,instant
rfnd_0034003599,pay_0034003599,37592,2026-07-15T15:54:40,normal
rfnd_0034003608,pay_0034003608,20313,2026-07-08T03:43:40,normal
rfnd_0034003626,pay_0034003626,538093,2026-08-01T14:27:31,normal
rfnd_0034003649,pay_0034003649,27874,2026-07-28T14:57:00,normal
rfnd_0034003665,pay_0034003665,274247,2026-07-13T01:20:57,normal
rfnd_0034003675,pay_0034003675,217548,2026-07-22T15:21:51,instant
rfnd_0034003750,pay_0034003750,18074,2026-07-30T15:54:49,normal
rfnd_0034003757,pay_0034003757,108715,2026-07-03T15:04:51,normal
rfnd_0034003759,pay_0034003759,142590,2026-07-15T08:58:38,normal
rfnd_0034003766,pay_0034003766,511637,2026-08-02T21:00:48,instant
rfnd_0034003768,pay_0034003768,151693,2026-08-01T16:11:18,normal
rfnd_0034003778,pay_0034003778,20518,2026-07-19T11:15:40,instant
rfnd_0034003814,pay_0034003814,33534,2026-08-01T21:40:31,instant
rfnd_0034003821,pay_0034003821,338614,2026-07-20T17:04:41,instant
rfnd_0034003824,pay_0034003824,54848,2026-07-29T10:34:33,normal
rfnd_0034003835,pay_0034003835,35581,2026-08-06T23:43:17,normal
rfnd_0034003847,pay_0034003847,148995,2026-07-23T11:41:52,normal
rfnd_0034003849,pay_0034003849,52519,2026-07-30T16:05:54,normal
rfnd_0034003894,pay_0034003894,63664,2026-07-29T09:17:21,instant
rfnd_0034003950,pay_0034003950,68641,2026-07-12T02:38:54,instant
rfnd_0034003953,pay_0034003953,199206,2026-08-07T21:30:31,instant
rfnd_0034003958,pay_0034003958,20214,2026-07-11T01:36:31,normal
rfnd_0034003968,pay_0034003968,93340,2026-07-10T21:45:45,normal
rfnd_0034003991,pay_0034003991,40807,2026-07-20T23:50:23,instant
